Transaction Type,Transaction Date & Time,Store Name & Address,Transaction Amount
Food Purchase,"April 17, 2026 09:37 PM MT","Dashmart, 303 2nd St Ste 800     San Franciscoca Us,. E.Mode: INT",-$ 16.00
Food Purchase,"April 17, 2026 09:36 PM MT","Dashmart, 303 2nd St Ste 800     San Franciscoca Us,. E.Mode: INT",-$ 18.21
Food Purchase,"April 15, 2026 10:20 AM MT","7-eleven - F9883, 2605 Valmont Rd        Boulder      Co Us,. E.Mode: INT",-$ 6.50
Food Purchase,"April 14, 2026 06:10 AM MT","7-eleven - F9883, 2605 Valmont Rd        Boulder      Co Us,. E.Mode: INT",-$ 16.18
Food Purchase,"April 12, 2026 11:09 AM MT","Dashmart, 303 2nd St Ste 800     San Franciscoca Us,. E.Mode: INT",-$ 26.78
Food Purchase,"April 11, 2026 03:42 AM MT","7-eleven - F9883, 2605 Valmont Rd        Boulder      Co Us,. E.Mode: INT",-$ 18.97
Food Purchase,"April 08, 2026 09:05 AM MT","Dashmart, 303 2nd St Ste 800     San Franciscoca Us,. E.Mode: INT",-$ 33.37
BENEFIT AVAIL (Food),"April 08, 2026 12:00 AM MT",", ,",$ 118.00
DIRECT DEPOSIT RELEASE,"March 26, 2026 06:01 PM MT",", ,",-$ 189.00
Food Purchase,"March 21, 2026 05:59 PM MT","Dashmart, 303 2nd St Ste 800     San Franciscoca Us,. E.Mode: INT",-$ 10.00
Food Purchase,"March 17, 2026 02:54 PM MT","Dashmart, 303 2nd St Ste 800     San Franciscoca Us,. E.Mode: INT",-$ 18.06
Food Purchase,"March 15, 2026 04:30 PM MT","Dashmart, 303 2nd St Ste 800     San Franciscoca Us,. E.Mode: INT",-$ 23.57
Food Purchase,"March 13, 2026 06:29 PM MT","7-eleven - F9883, 2605 Valmont Rd        Boulder      Co Us,. E.Mode: INT",-$ 9.18
Food Purchase,"March 11, 2026 12:29 AM MT","Dashmart, 303 2nd St Ste 800     San Franciscoca Us,. E.Mode: INT",-$ 52.24
Food Purchase,"March 09, 2026 03:22 PM MT","7-eleven - F9883, 2605 Valmont Rd        Boulder      Co Us,. E.Mode: INT",-$ 11.37
BENEFIT AVAIL (Food),"March 08, 2026 12:00 AM MT",", ,",$ 118.00
Food Purchase,"March 06, 2026 05:25 PM MT","7-eleven - F9883, 2605 Valmont Rd        Boulder      Co Us,. E.Mode: INT",-$ 9.18
Food Purchase,"February 26, 2026 08:37 AM MT","King Soopers, 65 Tejon Street        Denver       Co Us,. E.Mode: INT",-$ 56.30
Food Purchase,"February 26, 2026 08:36 AM MT","King Soopers, 65 Tejon Street        Denver       Co Us,. E.Mode: INT",-$ 56.30
Food Purchase,"February 26, 2026 08:36 AM MT","King Soopers, 65 Tejon Street        Denver       Co Us,. E.Mode: INT",-$ 56.30
Food Purchase,"February 25, 2026 12:59 PM MT","Dashmart, 303 2nd St Ste 800     San Franciscoca Us,. E.Mode: INT",-$ 22.23
